Code,Title,Description
3411.03,To courts and performs legal duties,May visit spots occurrence Petition Writer or dispute to ascertain additional facts. Petition Writer writes petitions for public. Professionals Collects charges from customers. May also sell stamps if in possession of proper 3411. Shirestedar Shirestedar; Reader; Bench Clerk; Judicial Clerk; Peshkar renders clerical assistance Professionals to Judge or Magistrate in conducting judicial proceedings in court
3411.99,"Records of cases, paper-books, . from","Legal and Related Business Associate Professionals, other include associate Code 3412 professionals engaged in Legal and related Title Social Work Associate business activities not elsewhere Professionals classified"
3412.02,Professionals evaluate compliance with equal,"Opportunity laws, guidelines, and policies Social Work Associate Professionals contracting arrangements give equal opportunity without regard to race, religion, colour, national origin, sex, age, Social work associate professionals or disability. Conduct surveys and administer and implement social evaluate findings in order to determine if assistance programmes and community systematic discrimination exists. Counsel services and assist clients to deal with newly hired members of minority and personal and social problems. Disadvantaged groups, informing them about details of civil rights laws"
3412.01,Civil rights laws and equal opportunity,"Blood Donor Unit Assistant regulations for individuals and employers. Investigate employment practices and Blood-Donor-Unit Assistant performs any alleged violations of laws, in order to combination of following supportive document and correct discriminatory duties at blood-collection unit of blood factors. Meet with persons involved in bank. Schedules appointments over equal opportunity complaints in order to telephone for blood donors. Interviews verify case information, and to arbitrate blood donors and records identifying and and settle disputes. Prepare reports of blood-credit information on registration selection, survey, and other statistics, and form. Notifies nurse if donor appears to recommendations for corrective action. Be underweight or too old to give blood. Provide information, technical assistance, Takes blood donor's temperature and and training to supervisors, managers, and pulse to assist during medical interview. Employees on topics such as employee Unpacks, labels, and stamps date on supervision, hiring, grievance procedures, empty blood packs. Posts donor names, and staff development. Review company blood-control numbers, and donor-group contracts to determine actions required to numbers to unit log sheet. Seals filled meet governmental equal opportunity blood packs and sample tubes, using hand provisions. Study equal opportunity tools and heat-sealing machine. Serves complaints in order to clarify issues. Refreshments, such as coffee, juice, cookies, and jelly beans, to donors to. 9900 into the following Families: Social Work Associate Professionals 3421 Athletes and Sports Players Social Worker Associate Professionals 3422 Sports Coaches, Instructors and include associate professionals who Officials provide guidance to clients in social and 3423 Fitness and Recreation Instructors, related matters to enable them to find and Programme Leaders and use resources to overcome difficulties and achieve particular goals not elsewhere classified. Athletes and Sports Players Athletes and sport players participate in competitive sporting events. They train and compete, either individually or as part Professionals of a team, in their chosen sport"
3421.01,Family 3413,"Professional Religious Associate Professionals Sportsman/Professional, Athlete Religious associate professionals provide Professional Sportsman takes part in support to ministers of religion or to a public exhibitions or competitions of religious community, undertake religious games or sports for gain. Discusses details works, preach and propagate the of engagement with clubs, institutions etc. Teachings of a particular religion and for participation in exhibition games or endeavour to improve well-being through sports. Plays games or participates in the power of faith and spiritual advice. Sports according to established rules, exhibiting his talent, prowess, skill, style, etc. Visits different centres and places to participate in games according to engagement. May coach players in Sports and Fitness Workers particular games for consideration. May sign contracts for engagement. May be Sports and Fitness Workers prepare for designated as Cricket Professional; and compete in sporting events for Football Professional; Tennis Professional financial gain, train amateur and etc. According to games in which professional sportsmen and women to proficient and engaged. Enhance performance, promote participation and standards in sport, organize and officiate sporting events, and provide instruction, training and. 0100 Jockey Athletic Coach Jockey rides racehorse at racetrack for Athletic Coach trains or coaches athletes consideration, observing rules. Makes in technique, and rules of competitive daily visits to race-track during racing track and field events such as sprints, season to ride race horses on track at shot-put, javelin throw, pole-vault etc. Different speeds to keep horses in fit Prepares schedule of field and track condition. Observes horse's performances events in which coaching is desired and during run and discusses with Race Horse explains and instructs on fundamental Trainer horse's behaviour for further skills and rules of event to individual or training. Receives riding instructions from groups of athletes under training. Trainer on racing day regarding race Demonstrates techniques of play by events, names and positions of horses and personal example; Pays specific attention other particulars and hints. Wears to health building and improving stamina prescribed coloured apparel, number etc. , by recommending and demonstrating according to turf rules for race event. Various types of exercises, drills and Mounts horse and takes it round paddock assists them to acquire proficiency. May for punters' view. Rides and positions accompany teams going out for horse at prescribed place on starting gate competition. On track at scheduled time and runs horse on start signal at top speed along track to. Dis Code 3422 mounts from horse after event and Title Sports Coaches, Instructors and removes saddle from horse and goes to Officials weighing room for weighing if required. Takes exercises to keep body fit and 3422. 0201 maintain correct weight. May undertake Sports Coach stable management. Sports Coach coachespotential sportsmen or player with talent and promise in fundamentals, techniques and rules of competitive sports or games. Selects potential sportsmen or players of talent and instructs them in fundamentals and rules of game and teaches them planning and movements. Demonstrates Sports Coaches, Instructors and techniques of play by action and actual Officials playing. Drills in fundamentals until players become familiar with all phases of Sports coaches, instructors and officials a game. Watches players in action and work with amateur and professional offers helpful criticism and corrective sportspersons to enhance performance, methods. Suggests or recommends encourage greater participation in sport, various physical exercises to keep body fit and organize and officiate in sporting and supple. Accompanies team on tours, events according to established rules. Maintains discipline and team spirit. May act as Umpire or Code 3422 Referee in matches or in tournaments. Title Sports Coaches, Instructors and May settle disputes of contending teams Officials in play. May be designated according to the sport coached, such as Tennis Coach, 3422. 0400 Football Coach, Hockey Coach, Cricket Umpire Coach etc. Umpire; Referee (Sports) conducts games Qualification Pack Details: and sports in accordance to rules and QP NOS Reference SPF/Q1101 pronounces instantaneous decisions. QP NOS Name Sports Coach Inspects playground or area before NSQF Level 7 commencement of game to ensure that lines and other markings in the field are Officials used in the game for proper specifications. Calls contestants or 3422. 0300 captains of contesting teams in field and Riding Instructor tosses or supervises toss for choice of field side or team to start game. Observes movement and position of ball and Riding Instructor instructs and teaches players for infringement of game rules, pupil in technique of horsemanship, and awards scoring points or imposes equitation, showing how to mount horse, penalties, by giving hand signals, calling how to post, and how to control horses, loud or blowing whistle. Warns and actions in walking, galloping, trotting, cautions erring players for deliberate cantering, and jumping. Takes pupil to breach of game-rules. Pronounces track and provides horse as per instantaneous judgement on appeal by requirements and explains various riding either party of contestant during play. Equipment and their uses. Demonstrates Stops play at scheduled hour for close of positions and postures of body and limbs game or earlier in emergency. May for mounting horses positioning of saddle. Suspend any player from match or game Controlling actions in walking, for gross misconduct or persistent foul trotting and galloping etc. Familiarises play. May be designated according to type pupils in fundamentals of horsemanship of game judged such as Cricket Umpire; by regular practice until proficiency is Hockey Umpire; Football Referee; acquired. Gives instructions in stable Volleyball Referee. May check bona fide management such as grooming and players in a tournament. Feeding of horses, maintenance of cleanliness of stable and keeping riding kit in good condition. May give coaching in tent pegging and playing polo. May give Code 3422 instructions in horse keeping on scientific Title Sports Coaches, Instructors and lines. Measures and marks out ground, courts according to Fitness and Recreation Instructors, specifications using measuring tape, lime and Programme Leaders powder, or chalk. Supervises cleaning, sweeping, lining and rolling of cricket Fitness and Recreation Instructors and pitch, hockey or football fields, tennis or Programme leaders lead, guide and badminton courts, sport tracks etc. Instruct groups and individuals in Maintains billiard table by periodical ironing of cushion surface and marking recreational, fitness or outdoor adventure out playing and scoring lines. Attends activities. Courts and fields events, follows game in progress and supplies sporting gear and 3423. 0101 equipment when necessary. Exhibits Fitness Trainer/Fitness Instructor scoring board, and notes and announces scoring points of players. Collects charges Fitness Trainer is also known as Gym or fees for game, where prescribed, and trainer, Trainer or Gym Coach or Fitness accounts it to superior. Maintains sports coach. Individuals in this role are involved equipment like cricket bats, badminton in the physical training of others through and tennis racquets, nets, posts etc. May various fitness activities. The act as professional coach in particular responsibilities of a Fitness trainer include game, give practice to players or teach to help trainees of all ages, shape and game to beginners. Sizes to get healthier and achieve desired fitness levels through focused exercises Officials QP NOS Reference SPF/Q1102 QP NOS Name Fitness Trainer 3422. 9900 NSQF Level 4 Sports Coaches, Instructors and Officials, Other Athletes, Sportspersons and Related Title Fitness and Recreation Instructors and Programme Leaders Associate Professionals, other include associate professionals who participate in competitive sporting events, conduct 3423. 0200 sports training, compile rules concerning Physical Training sports events, and control the progress of Instructor/Physical Education these events not classified elsewhere. Teacher Physical Training Instructor conducts physical training classes, organizes games and trains students in games and. Trains and engages students of NSQF Level 4 colleges, schools and allied institutions. 9900 to reduce and correct body. Teaches use Fitness and Recreation Instructors of dumbbells, bars and other equipment. And Programme Leaders Organizes, leads, instructs and referees games such as hockey, basketball, football Fitness and Recreation Instructors and or kabaddi and organizes inter-class, inter- Programme Leaders Others, include units, or inter-district sports competitions instructors and programme leaders who and athletic meets. Supervises lead, guide and instruct groups and maintenance of gymnasium and sports individuals in recreational, fitness or equipment. Organizes picnics, tours and outdoor adventure activities not other re-creational activities of students. Elsewhere classified. May give health talks and ensure personal cleanliness and community hygiene among students. May be designated as Physical Director, Drill Master, Games Code 3423 Teacher, Physical Training Mistress (for Title Fitness and Recreation Instructors girls) according to degree of responsibility and Programme Leaders and nature of duties performed. And Programme Leaders Photographers operate still cameras to photograph people, events, scenes, materials,"
3423.0501,Products subjects.,"Lifeguard Lifeguards are also known as pool guard, 3431. 0100 beach lifeguard or lifesavers. Lifeguards Photographer, General work at swimming pools, beaches and Photographer, General takes photograph inland waterways to keep swimmers safe. Of persons, places, or other subjects, using Individuals in this role would observe and various kinds of photographic equipment. Supervise swimming areas to prevent Measures day light using exposing meter accidents. Responsibilities include making or arranges artificial lighting and holds or swimmers aware of dangerous situations, places camera at desired angle and and in an emergency carrying out a rescue distance from subject to be procedure. Focuses lens and adjusts lens opening and exposure time. Loads Qualification Pack Details: camera with film or plate. Presses lever to QP NOS Reference SPF/Q1104 open lens shutter and exposes film or QP NOS Name Lifeguard plate by pressing lever, allowing time, if. Supplies series of pictures camera. Develops negative in darkroom on selected topics, for writing feature by dipping it in developer, washing it in articles in magazines. May develop films fixing solution and further washing it in and print copies. Water and allows developed film to dry. Examines developed film for defects, and. Makes Title Photographers prints or enlargements in sensitized paper; dries them by grazing on glazing- 3431. 0300 sheet or by spreading on flat surface and Photographer, Aerial trims glazed or unglazed prints according Photographer, Aerial photographs objects, to required size and mounts them. May places and areas of vital importance from take colour photographs and develop aeroplanes in flight, for use in surveys, colour films adopting special processes. Planning, development and other May specialize in studio photography or scientific and military purposes. Take photographs of important events for Determines number of exposures and reproduction in newspapers, buildings, time lapse between them by making machinery, industrial plants, for trade necessary calculations. Loads camera, advertisements. Adjusts exposure-time and exposes film by opening shutter at calculated intervals. Operates and maintains automatic camera and photo equipment for aerial photographs. Develops aerial films of various types in automatic, semi-"
3431.02,Automatic manual tank developers.,"Photographer News Makes prints for photo interpretation. Photographer News; Press Photographer photographs news events, persons or. Receives Title Photographers instructions from News Editor or Chief Reporter regarding nature of pictures to 3431. Travels to location; loads Photographers, Other camera with film, waits for suitable Photographers and Image and Sound moment and takes photographs. Attends Recording Equipment Operators, Other State functions and parties and takes take photographs of persons, places and photographs of important persons objects and record sound for different arousing special interest of news value for purposes and include Photographers, publication. Accompanies important Image and Sound Recording Equipment visitors and dignitaries and takes Operatorsnot elsewhere classified. Photographs of significant events associating important persons. Removes exposed film for developing and printing. Examines print, gives appropriate title or heading, and hands it over to News Editor National Classification of Occupations 2015 Division 3 Interior designers and decorators Title Interior Designers and Decorators"
3432.02,Interior designers and decorators plan,"Decorator design commercial, industrial, public, Decorator; Designer creates artistic and retail and residential building interiors to ornamental designs in colour for interior produce an environment tailored to a and exterior decorations and displays and purpose, taking into consideration factors arranges in attractive manner wares, that enhance living and working products, furniture etc. Creates own environments and sales promotion. They designs to satisfy clients requirements and co-ordinate and participate in their taste etc. Showing style, shape, size and construction and decoration. Other characteristics or products. Makes sketches and diagrams or design keeping"
3432.01,"Into consideration purpose, cost","Interior Designer preferences of client. Arranges decorative material, furniture, wares, products etc. In Interior Designer plans, designs, and artistic manner. May specialize in setting furnishes interiors of residential, and decorating stages and may be known commercial, or industrial buildings. As Set Decorator. May be known as Formulates design which is practical, Interior Decorator, Decorative Designer, aesthetic, and conducive to intended Window Display Designer, Display Artist, purposes, such as raising productivity, etc. , according to field of specialisation. Selling merchandise, or improving life style. May specialize in a particular field, style, or phase of interior design. Estimates material requirements and costs, and presents design to client for approval. Confers with client to determine"
3432.0501,Factors affecting planning interior,"Bathroom and Kitchen Designer environments, such as budget, Bathroom and Kitchen Designer is architectural preferences, and purpose responsible for design of bathrooms and and function. Advises client on interior kitchens in a housing setups. Design factors, such as space planning, layout and utilisation of furnishings and Qualification Pack Details: equipment, and colour co-ordination. Selects or designs and purchases QP NOS Reference PSC/Q0204 furnishings, art works, and accessories. QP NOS Name Bathroom and Subcontract fabrication, installation, and Kitchen Designer arrangement of carpeting, fixtures, NSQF Level 6 accessories, draperies, paint and wall coverings, art work, furniture, and related items. Render design ideas in form of. Plans and designs Code 3432 interior environments for boats, planes, Title Interior Designers and Decorators buses, trains, and other enclosed spaces. 9900 Requisitions or purchases food supplies Decorators and Commercial and kitchen equipment as necessary and checks them for quality and quantity and Designers, Other supervises cooks and other kitchen Decorators and Commercial Designers, workers. May hire and discharge cooks. Other include other associate professionals who apply artistic techniques to product design, interior decoration and sales promotion not elsewhere classified. Other Artistic and Cultural Associate Professionals"
3435.01,"Gallery, Museum and Library","Technicians Tattoo Artist Tattoo Artist pricks skin of patron, using Gallery, museum and Library Technicians needled electric tool, that inserts indelible prepare artworks, specimens and nontoxic pigment into skin to form artefacts for collections, arrange and decorative or ornamental design. Shaves construct gallery exhibits, and assist area to receive tattoo and washes it, using Librarians to organize and operate germicidal soap. Presses charcoal-coated systems for handling recorded material stencil, draws design, or traces pattern of and files. Design onto skin of patron, to mark outline of design. Dips needles of tool into coloured pigment solution and presses Chefs pigment into skin following outline of design. Applies sterile dressing to area. 0100 Sterilises needles in steam-heated cabinet (steriliser). Mixes nontoxic coloured Head Cook/Head Chef pigments according to formula. Adjusts Head Cook plans meals and supervises and repairs needled electric tool, using and co-ordinates work of cooks and other hand tools, such as screwdrivers and kitchen helpers in large hotels, restaurants pliers. May draw original designs on or other establishments and abroad ships paper, trace designs onto acetate sheet, or railway trains. Plans daily menu, taking and cut out design to form pattern or into account probable number of guests, stencil, using stylus and knife. Marketing conditions, popularity of various dishes and recency of menus used, and assigns prices to items. Supervises preparation and cooking of food, and instructs cooks as required. Concocts Associate Professionals special dishes and invents recipes. Tests cooked foods by tasting or smelling them. 0200 control mechanical riding devices such as Stuntman merry-go-round, giant wheels, midget auto and other amusement contrivances Stuntman performs dare-devil feats such or equipment furnished by amusement as diving stunts, perilous rides, or parks, carnivals or similar places of spectacular jumps for dramatic entertainment for use of patrons. Sets productions. Wears appropriate dress and riding devices and gives them trial run to ensures, that all requisites, to feat are in ensure that they are in working order. Performs, dare-devil feats such as Informs patrons to fasten belt, bar, or diving from high tower on altitude after other safety device determining that they setting fire to dress in to deep well filled are safely seated and not overcrowded. With water below, riding bicycle, motor Move controls to start to permit cycle or motor car at high speed jumping operation of ride by patron and stops over hollow space or from raised equipment after allotted time. Adds to or platform, riding motor cycle at great re-moves equipment, according to speed inside walls of-hollow circular globe amount of patronage. Oils, refuels, adjusts or well (wooden or metal structure and repairs device. Tests equipment daily specially prepared for performance of before opening ride to patrons. May perilous feat etc. Notify patron of expiration of period for which fee was paid to use device. May collect tickets or cash fares from patrons. May Associate Professionals be designated according to equipment operated as Railroad Operator, Roller- 3435. 0300 Coaster Operator; Auto-speedway Prompter Operator. Prompterprompts Actors who forget their lines in operatic productions by. Speaks cues and Associate Professionals lines by whispering to Actors when they forget their lines. May direct actions of 3435. 0500 Actors while prompting. May substitute Floral Designer Actors when necessary. Floral Designer designs, cuts, and arranges live, dried, or artificial flowers and foliage. Confers with clients regarding price and type of arrangement desired and the date, time, and place of delivery. Plans Associate Professionals arrangement according to client's"
3435.04,"Requirements, utilizing knowledge","Merry-go-Round Operator design and properties of materials, or Merry-go-Round Operator; Amusement select appropriate standard design Equipment Operator operates and pattern. Waters plants, and cut, condition, controls or instructs patrons how to and clean flowers and foliage for storage. To-day running of computer systems, Order and purchase flowers and supplies communications systems and networks from wholesalers and growers. Wraps and and perform technical tasks related to price completed arrangements. Trims telecommunications, broadcast of image material and arranges bouquets, wreaths, and sound as well as other types of terrariums, and other items using telecommunication signals on land, sea or trimmers, shapers, wire, pins, floral tape, in aircraft. Foam, and other materials. Performs office Tasks performed by workers in this sub- and retail service duties such as keeping major group usually include: providing financial records, serving customers, assistance to information and answering telephones, selling giftware communication system users. Installing items and receiving payment. Informs new programs and equipment; customers about the care, maintenance, establishing, operating and maintaining and handling of various flowers and network and other data communications foliage, indoor plants, and other items. Systems; installing, monitoring and Decorates or supervises the decoration of supporting Internet and Intranet websites buildings, halls, churches, or other or web server hardware or software; facilities for parties, weddings and other modifying web pages; and performing occasions. Web server backup and recovery operations; controlling equipment to sound recordings; controlling and maintaining transmitting and broadcast systems and satellite systems for radio Associate Professionals and television programmes. Controlling and maintaining radio communications"
3435.99,"Systems, satellite services, and multiplex","Other Artistic and Cultural systems on land, sea or in aircraft; Associate Professionals, Other providing technical assistance connected Clowns, Magicians, Acrobats and Related with research and the development of Associate Professionals, Other include computer systems and those who entertain audiences in circuses telecommunications equipment, or and other places by performing a variety testing prototypes; designing and of acts not elsewhere classified. Preparing blueprints of circuitry according to the specifications given; providing utilization, maintenance and repair of telecommunications systems. Associate Professionals Occupations in this Sub Division are Sub Division 35 classified into the following Groups: Information and Communications 351 Information and Communication Technicians Technology Operations and User Support Technicians. Technology Operations and User Individual tasks vary depending on the Support Technicians size and structure of the organization, but may include installing and configuring Information and Communication computer hardware operating systems Technology Operations and User Support and applications; monitoring and Technicians provide support for the day- maintaining computer systems and to-day running of communications networks, troubleshooting the biometric systems, computer systems and networks system and network problems and and provide technical assistance to users diagnosing and solving hardware/software faults etc. Occupations in this Group are classified into the following Families: Qualification Pack Details: QP NOS Reference SSC/Q2213 3511 Information and Communication QP NOS Name DomesticBiometric Technology Operations Data Operator Technicians NSQF Level 4 3512 Information and Communication Technology User Support Technicians 3513 Computer Network and Systems Technology Operations Technician Technicians 3514 Web Technician Information and Communication Information and Communication Technology User Support Technology Operations Technicians Technicians Information and Communications Information and Communications Technology Operations Technicians Technology User Support Technicians support the day-to-day processing, provide technical assistance to users, operation and monitoring of information either directly or by telephone, e-mail or and communications technology systems, other electronic means, including peripherals, hardware, software and diagnosing and resolving issues and related computer equipment to ensure problems with software, hardware, optimal performance, and identify computer peripheral equipment, problems. Networks, databases and the Internet, and providing guidance and support in the 3511. 0101 deployment, installation and maintenance of systems. 0100 networks; talking staff/clients through a Data Recovery Planner/System series of actions, either face to face or over the telephone to help set up systems Administrator or resolve issues; troubleshooting system and network problems and diagnosing Data Recovery Planner; Disaster Recovery and solving hardware/software faults etc. Manager develops, co-ordinates implementation of, and tests plan to Qualification Pack Details: continue establishment data processing QP NOS Reference SSC/Q0110 activities at off-site location in case of QP NOS Name Domestic IT emergency, such as fire, at main site. Helpdesk Attendant Establishes priority of data processing NSQF Level 4 activities according to importance to business. Determines hardware, software, data files, safe storage facilities, and other resources required. Develops plan to meet Code 3513 emergency data processing needs. Title Computer Network and Systems Identifies personnel needed to implement Technician plan. Presents plan to management and recommends means of obtaining required 3512. 0200 facilities, such as contracting with off-site Desk Top Publishing Operator vendor. Co-ordinates implementation of plan. Tests emergency data processing Desk Top Publishing Operator lays out system, using computer and test data. Pages, selects size and style of type, and Writes report to document test results enters text and graphics into computer to and updates emergency recovery produce printed materials, such as procedures. Advertisements, brochures, newsletters, and forms, applying knowledge of graphic Technology User Support input device such as mouse, keyboard, Technicians scanner, or modem. Scans artwork, using optical scanner which changes image into 3512. 0101 computer-readable form. Enters Domestic IT Helpdesk Attendant commands to position text and illustrations on page grid of computer monitor. Creates spaces between letters, Domestic IT Helpdesk Attendant is mainly columns, and lines, applying knowledge of responsible for the smooth running of typesetting, and enters commands, using computer systems and ensuring users get input device. Arranges page according to maximum benefits from them. Individual aesthetic standards, layout specifications tasks vary depending on the size and of Graphic Designer, and applying structure of the organization, but may knowledge of layout and computer include installing and configuring software. Prints paper or film copies of computer hardware operating systems completed material. May alter illustration and applications; monitoring and to enlarge, reduce, or clarify image. May maintaining computer systems and. They may receive process photographs. May assemble guidance from managers or professionals. Artwork into paste-up and perform key May supervise other workers also. Lining manually. Technology User Support Technicians Technicians"
3512.0401,Associate-Desktop Publishing (DTP),"Disk Duplicator creates a master hard disk Associate-Desktop Publishing (DTP) puts by loading appropriate files and duplicates research reports into standard templates. Them in multiple disks for use in end-user These templates could be in flash, computing systems. The individual at work macromedia, acrobat or html. Is responsible for creating a master hard disk and using it for duplicating on empty Qualification Pack Details: hard disks to be used by original QP NOS Reference SSC/Q2702 equipment manufacturers. QP NOS Name Associate-Desktop Publishing(DTP) Qualification Pack Details: NSQF Level 7 QP NOS Reference ELE/Q4302 QP NOS Name Disk Duplicator Technology User Support Code 3512 Technicians Title Information and Communication Technology User Support 3514. 0300 Technicians Programming Assistant/Junior"
3512.0501,Software Engineer,"IT Co-ordinator in School Programming Assistant installs, maintains and updates computer programs by IT Co-ordinator - making minor changes and adjustments to Co-ordinator them under the guidance of computing provides support on the e-learning professionals. Maintains and updates content and hardware used for training in documents of computer programs and schools. The individual at work is installations. Applies knowledge of responsible for operating and maintaining principles and practices in the area of e-learning hardware and updating and programming and computing in order to operating e-learning applications. The identify and solve problems arising in the individual also assists teachers and. Recordings by physicians and other healthcare professionals dictating a Qualification Pack Details: variety of medical reports, such as QP NOS Reference ELE/Q4701 emergency room visits, diagnostic imaging QP NOS Name IT Co-ordinatorin studies, operations, chart reviews, and School final summaries. Carries out programming NSQF Level 4 tasks connected with the installation and maintenance of computer hardware and translates medical jargon and abbreviations into their expanded forms. Edits as necessary and returns reports in Technology User Support either printed or electronic form by Technicians mail/e-mail to the dictator for review and signature, or correction"
3512.0601,Associate-Clinical Data,"Management Associate-Clinical Data Management are Technology User Support required to organize and maintain Technicians information related to medical research and records, and perform data coding of"
3512.0702,Records. They need to ensure,"Associate-Medical Transcription completeness, correctness and quality of the data generated during clinical trials Associate-Medical Transcription is with high accuracy. Responsible for documentation of medical records dictated and authored by medical Qualification Pack Details: professionals. This involves basic QP NOS Reference SSC/Q2401 documentation, verification and validation QP NOS Name Associate-Clinical of the documents such as history and Data Management physical reports, clinic notes, office notes, NSQF Level 7 operative reports, consultation notes, discharge summaries, letters, psychiatric evaluations, laboratory reports, x-ray reports and pathology reports. Qualification Pack Details: Technology User Support QP NOS Reference SSC/Q2402 Technicians QP NOS Name Associate-Medical Transcription"
3512.07,NSQF Level 7,Medical Transcriptionist Medical Transcriptionists use computer and transcribing machines with headset National Classification of Occupations 2015 Division 3 Technology User Support Technician Technicians Computer Network and Systems
3512.0801,"Technicians establish, operate",Engineer-Technical Support maintain network and other data communication systems. Engineer-Technical Support is responsible for resolving Level 1/2 incidents affecting
3513.01,The operation of production systems,"System Administration through troubleshooting and Assistant/Junior System implementing known fixes. It involves framing of long term and short term plans Administrator for IT Support/Helpdesk. System Administration Assistant provides Qualification Pack Details: assistance to users of microcomputers QP NOS Reference SSC/Q0101 and standard software systems at QP NOS Name Engineer-Technical installation and when a problem occurs. Support(Level 1) Installs/reinstalls new computer programs NSQF Level 5 on particular hardware and operating system configurations. Installs new Technology User Support operations. Keeps log of computing Technicians systems. May receive guidance from Managers or professionals. May supervise 3512. 9900 other workers also. Information and Communication Technology User Support Technicians, Other Technician Computer Assistants, Other include all other Computer Assistants not elsewhere"
3513.02,Classified.,"Computer Security Specialist Computer Security Specialist regulates access to computer data files, monitors data file use, and updates computer security files: Enters commands into Technology UserSupport computer to allow access to computer Technicians system for employee who forgot password. Reads computer security files to determine whether denial of data access reported by employee is justified. Answers employee Code 3513 questions about computer security. Title Computer Network and Systems Modifies security files to add new Technician employees, delete former employees, and change employee name, following notice 3513. 9900 received from computer user Computer Network and Systems departments and personnel office. Sends Technician, other printouts listing employee data authorisation to computer user Computer Network and Systems departments to verify or correct Technician, other include technicians who information in security files. Reviews data establish, operate and maintain network use records and compares user names and other data communications systems listed in records with employee not elsewhere classified. Authorisation to ensure that all employees who accessed data files were entitled to do so. Deletes data access of unauthorised users, and for users who Code 3513 have not used data for specified time. Title Computer Network and Systems Technician Technician Web Technicians maintain, monitor and 3513. 0301 support the optimal functioning of Infrastructure Engineer Internet and Intranet websites and web server hardware and software. Infrastructure Engineer provides technical assistance in the installation,. These roles Broadcasting Technicians provide cross-functional IT Services Management and work closely with Telecommunications and Broadcasting multiple domains on the development, Technicians control technical functioning maintenance and reporting of service of equipment to record and edit images catalogues, processes/procedures, and and sound and for transmitting radio and new technology/tools. Television broadcasts of images and sounds, as well as other types of Qualification Pack Details: telecommunication signals on land, sea or QP NOS Reference SSC/Q0801 in aircraft, perform technical tasks QP NOS Name Infrastructure connected with telecommunications Engineer engineering research and with the design, NSQF Level 5. Piece, and follows scene of action, moving or adjusting his camera by hand. Unloads Occupations in this Group are classified camera when film reel is fully exposed for into the following Families: further processing. Writes camera reports indicating details of shooting, lighting 3521 Broadcasting and Audio-visual conditions, types of lenses, filters and Technicians diffusers used. May direct setting up and making of various adjustment of power 3522 Telecommunication Engineering driven motion picture camera. Technicians Technicians Broadcasting and Audio-Visual Technicians 3521. 0200 Movie Cameraman Broadcasting and Audio-Visual Technicians control technical functioning Movie Cameraman; Cine Cameraman of equipment to record and edit images photographs persons, places and events and sound and for transmitting radio and with movie camera (cine) for purposes television broadcasts of images and other than production of feature films. Sounds, and other types of Loads cine camera with film either telecommunication signals on land, sea or coloured or black and white as required. Visits place of interest, event or assembly. Holds or places camera at desired angle 3521. 0100 and distance from subject to be Cinematographer photographed; adjusts lens, aperture, depending on type of subject and lighting Cinematographer; Cameraman, Motion condition or arranges artificial light for Picture, photographs persons, scenes and better effect; focusses camera lens or places with motion picture camera for lenses to subject holding his eye close to production of feature films. Receives view finder or looking through film with instructions from Producer, Motion eye-piece and exposes certain length of Picture as to type and photographic effect film by pressing lever to run motor inside desired on scenes to be filmed. Alters angle or distance of shot as loading of camera with reel of film. Unloads camera when film is Positions or supervises setting up of exposed and sends film for developing. Camera by assistant; focusses and sets Views processed film against light and camera on scene or object to he shot; cuts and trims films to make desired strip controls lighting for desired general detail of subject. Projects or exhibits film on of scene to be photographed; hooks up screen using projector to explain events motor on camera at starting signal of function, for audience. May develop and. May enlarge prints. May Sound Recording Equipment Operator attend to minor repair to cine cameras. Operates electronic equipment which May be designated as Television records sound in pulses on composition Cameraman if engaged in television discs or on reels of tape, wire or film for studio. Such uses as film and gramophone record production and radio broadcasting. Places and makes other adjustments as 3521. Starts machine, watches its operation closely and listens, by means of Cameraman, Animation headphones or loudspeaker, to sound being recorded. Manipulates controls Cameraman (Animation) operates special during operation as required. May camera to make animated cartoon motion perform minor repairs. Discusses with Director and Producer, (Film) and renders advise about Qualification Pack Details: can era movements and feasibility of QP NOS Reference MES/Q3403 variety of shot; envisages in script and QP NOS Name Sound Assistant chart and suggests alternatives wherever NSQF Level 3 necessary. Receives animation charts and drawings. Sets and adjusts camera and lighting exposure appropriate to type of film used and mood and effect to be Code 3521 emphasised. Installs frame on camera Title Broadcasting and Audio-Visual table for exposure and positions overhead Technicians camera suspended securely over frame. Shoots frame by frame in a 3521. 0501 predetermined sequence and regulates Film Editor/Editor exposure and aperture to obtain special effect such as fade out or fade in. Instructs Film Editor edits motion picture films in Laboratory Technicians about method of sequence as per script by cutting away processing of films, which need special unwanted portion of film and treatment for effective development of synchronises picture and sound negatives. Striking feature of certain shots. Studies script or story of picture. Examines picture and sound negatives over editing Technicians of films in proper sequence on splicer machine using special adhesives (cement). 0401 Arranges film in convenient number of Sound Recording Equipment reels or parts and inserts appropriate titles and banners for distinction. Views Operator/Sound Assistant assembled film on screen for corrections if. Synchronises picture negative with recording, transmitting and receiving sound negative and fills up void portions units, projectors and other audio-visual withnecessary music track. And sound equipment for operational efficiency. Checks equipment part by part Qualification Pack Details: according to prescribed specifications, QP NOS Reference MES/Q1401 gets defects removed and puts them in QP NOS Name Editor trial to observe density, linearity, clarity of NSQF Level 4 picture and voice and other factors, as appropriate. Synchronises sound with in television, cinematography, etc. , and ensures correct matching. Gets machines and equipment set according to Technicians programme and adjusts them as necessary and guides workers in proper"
